#N	n	gw	std_gw	qrao_mean_sep	qrao_std_sep	qrao_mean_ent	qrao_std_ent	
8	4	1.0	0.0	1.0	0.0	1.0	0.0
10	5	1.0	0.0	1.0	0.0	1.0	0.0	
12	6	0.956	0.054	1.0	0.0	0.94	0.07
14	6	0.903	0.110	0.974	0.013	0.981	0.016
16	7	0.952	0.039	1.0	0.0	0.889	0.067
18	7	0.946	0.045	1.0	0.0	0.905	0.100
20	8	0.938	0.080	0.967	0.017	0.896	0.057
22	10	0.941	0.018	0.969	0.010	0.866	0.080
