#N	n	gw	std_gw	qrao_mean_sep	qrao_std_sep	qrao_mean_ent	qrao_std_ent	
8	3	1.0	0.0	1.0	0.0	0.938	0.058
10	5	1.0	0.0	0.990	0.019	0.886	0.065	
12	6	1.0	0.0	1.0	0.0	0.948	0.018
14	6	0.964	0.060	0.969	0.038	1.0	0.0
16	7	0.984	0.020	0.959	0.025	0.898	0.034
18	8	0.977	0.008	0.977	0.013	0.940	0.042
20	10	0.962	0.016	0.975	0.014	0.919	0.050
22	9	0.928	0.041	1.0	0.0	0.840	0.090
