#N	n	gw	std_gw	qrao_mean_sep	qrao_std_sep	qrao_mean_ent	qrao_std_ent	
8	4	0.933	0.082	1.0	0.0	1.0	0.0
10	4	1.0	0.0	1.0	0.0	0.975	0.050	
12	6	1.0	0.0	1.0	0.0	0.977	0.044
14	6	1.0	0.045	1.0	0.0	0.967	0.067
16	6	0.954	0.037	1.0	0.0	0.892	0.061
18	6	0.986	0.043	1.0	0.0	0.943	0.053
20	7	0.988	0.024	1.0	0.0	0.906	0.080	
22	8	0.922	0.027	0.933	0.054	0.888	0.035
