#N	n	gw	std_gw	qrao_mean_sep	qrao_std_sep	qrao_mean_ent	qrao_std_ent	
8	3	0.983	0.033	1.0	0.0	0.817	0.162
10	5	0.913	0.075	0.963	0.031	0.938	0.068	
12	6	0.952	0.043	1.0	0.0	1.0	0.0
14	7	0.944	0.041	0.952	0.039	0.848	0.127
16	7	0.903	0.041	1.0	0.0	0.968	0.029
18	7	0.960	0.039	0.989	0.014	0.857	0.070
20	8	0.944	0.034	0.979	0.019	0.938	0.045
22	8	0.972	0.033	0.936	0.061	0.882	0.022
