#N	n	gw	std_gw	qrao_mean_sep	qrao_std_sep	qrao_mean_ent	qrao_std_ent	
8	3	0.920	0.098	1.0	0.0	0.880	0.147
10	5	0.969	0.038	1.0	0.0	0.754	0.317	
12	6	0.900	0.064	0.950	0.061	0.850	0.156
14	5	0.979	0.042	1.0	0.0	0.800	0.077
16	6	0.918	0.053	1.0	0.0	0.836	0.079
18	6	0.948	0.043	0.956	0.0	0.956	0.027
20	7	0.911	0.060	0.963	0.017	0.860	0.094
22	7	0.980	0.027	0.937	0.034	0.876	0.068
